St. Kitts and Nevis,KNA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.99205
"Korea, Rep.",KOR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.90268
Kuwait,KWT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.93656
Latin America & Caribbean (excluding high income),LAC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.99128
Lao PDR,LAO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.17348
Lebanon,LBN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Liberia,LBR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.15828
Libya,LBY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
St. Lucia,LCA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.59369
Latin America & Caribbean,LCN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.98164
Least developed countries: UN classification,LDC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.88187
Low income,LIC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.71847
Liechtenstein,LIE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.33658
Sri Lanka,LKA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Lower middle income,LMC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.95883
Low & middle income,LMY,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.20533
Lending category not classified,LNX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Lesotho,LSO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.23804
Late-demographic dividend,LTE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.14008
Lithuania,LTU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.58409
Luxembourg,LUX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.04739
Latvia,LVA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.46916
"Macao SAR, China",MAC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.3011
St. Martin (French part),MAF,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Morocco,MAR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Monaco,MCO,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Moldova,MDA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.66565
Madagascar,MDG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.29967
Maldives,MDV,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Middle East & North Africa,MEA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.07374
Mexico,MEX,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.54516
Marshall Islands,MHL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.43645
Middle income,MIC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.49826
North Macedonia,MKD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.25104
Mali,MLI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,7.02509
Malta,MLT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.84931
Myanmar,MMR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Middle East & North Africa (excluding high income),MNA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.7595
Montenegro,MNE,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.28598
Mongolia,MNG,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Northern Mariana Islands,MNP,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Mozambique,MOZ,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,9.54599
Mauritania,MRT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,8.70103
Mauritius,MUS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.91348
Malawi,MWI,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.59673
Malaysia,MYS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.32502
Mayotte,MYT,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
North America,NAC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.94004
Namibia,NAM,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
New Caledonia,NCL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Niger,NER,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,5.71955
Nigeria,NGA,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Nicaragua,NIC,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
Netherlands,NLD,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,14.10206
Norway,NOR,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.8177
Nepal,NPL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,11.90419
Nauru,NRU,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,
New Zealand,NZL,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,13.88841
OECD members,OED,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.56242
Oman,OMN,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,12.58836
Other small states,OSS,"School life expectancy, primary and secondary, both sexes (years)",UIS.SLE.123,10.86037
